,AlimentosExistentes,AlimentosFaltantes,ArtculosUrgentes,Calle,Colonia,Delegacinomunicipio,EspecialistasExistentesseparaporcomas,EspecialistasFaltantesseparaporcomas,Estado,HerramientasExistentes,HerramientasFaltantes,Horariodeatencin,Marcatemporal,MedicamentosExistentes,MedicamentosFaltantes,Nombredelcentro,Nombredelcontacto,Nmero,OtrosArtculosqueNecesitan,Serequierevoluntarios,Telfono,TelfonoAcopio,Verificado,latitud,longitud
64,,,0,0,Ampliacion San Isidro,Jiutepec,nan,nan,Morelos,,,,21/09/2017 0:35:50,,,Casa Comunitaria,0,0,0,,0,,Sí,18.9298115,-99.17948609999999
65,,,0,0,0,Ocuituco,nan,nan,Morelos,,,,21/09/2017 0:41:47,,,Centro Ociotuico,0,0,0,,0,,Sí,18.8111695,-98.96101879999999
66,,,0,0,0,Ocuituco,nan,nan,Morelos,,,,21/09/2017 0:43:03,,,Jumiltepec,0,0,0,,0,,Sí,18.8111695,-98.96101879999999
67,,,0,0,0,Ocuituco,nan,nan,Morelos,,,,21/09/2017 0:46:57,,,Ocoxaltepec,0,0,0,,0,,Sí,18.8111695,-98.96101879999999
68,,,0,0,0,Ocuituco,nan,nan,Morelos,,,,21/09/2017 0:50:01,,,Huecahuaxco,0,0,0,,0,,Sí,18.8111695,-98.96101879999999
69,,,0,0,0,Ocuituco,nan,nan,Morelos,,,,21/09/2017 1:00:51,,,Huejotenco,0,0,0,,0,,Sí,18.8111695,-98.96101879999999
70,,,0,0,0,Huitzilac,nan,nan,Morelos,,,,21/09/2017 1:01:54,,,Auditorio Municipal Huitzilac,0,0,0,,0,,Sí,32.5239333,-117.0371958
71,,,0,0,0,Huitzilac,nan,nan,Morelos,,,,21/09/2017 1:03:41,,,Auditorio Municipal Tres Marías,0,0,0,,0,,Sí,32.5239333,-117.0371958
73,,,0,No Reeleccion,Aquiles Serdan,Yecapixtla,nan,nan,Morelos,,,,21/09/2017 1:11:57,,,Unidad Deportiva Fidel Díaz,0,0,0,,0,,Sí,18.8811347,-98.8675653
74,,,0,Zapata esquina Adolfo Lopez Mateos,Centro,Yecapixtla,nan,nan,Morelos,,,,21/09/2017 1:13:25,,,Casa Ejidal Centro Yecapixtla,0,0,0,,0,,Sí,18.8117597,-98.9279967
75,,,0,0,Barrio de San Marcos,Yecapixtla,nan,nan,Morelos,,,,21/09/2017 1:14:46,,,Cancha San Marcos,0,0,0,,0,,Sí,18.9231332,-98.9007839
76,,,0,0,0,Zacatepec,nan,nan,Morelos,,,,21/09/2017 1:17:55,,,Ayudantía de Tetelpa,0,0,0,,0,,Sí,18.6579253,-99.2010492
77,,,0,0,0,Zacatepec,nan,nan,Morelos,,,,21/09/2017 1:19:12,,,Jardín de niños Narciso Mendoza,0,0,0,,0,,Sí,18.6579253,-99.2010492
78,,,0,0,0,Zacatepec,nan,nan,Morelos,,,,21/09/2017 1:19:42,,,Estadio Coruco Díaz,0,0,0,,0,,Sí,18.6579253,-99.2010492
79,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Colima,Roma Norte,Cuauhtemoc,nan,nan,Ciudad de México,,,08:00 a 21:00,21/09/2017 1:25:24,,Vendas Gasas esterlizadas Alcohol Agua oxigenadaAntihipertensivos Metformina Antidiarricos,,0,378,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,19.4173476,-99.16980649999999
80,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Oriente 85,Siete de Noviembre,Gustavo A. Madero,nan,nan,Ciudad de México,,,08:00-21:00,21/09/2017 1:27:42,,Vendas Gasas esterlizadas Alcohol Agua oxigenadaAntihipertensivos Metformina Antidiarricos,,0,2822,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,19.4584037,-99.1164472
81,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Av. Universidad,Copilco,Coyoacán,nan,nan,Ciudad de México,,,08:00-21:00,21/09/2017 1:29:40,,Vendas Gasas esterlizadas Alcohol Agua oxigenadaAntihipertensivos Metformina Antidiarricos,,0,1790,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",Sí,0,,Sí,19.3447936,-99.1808473
83,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Calle de la Luz,Chapultepec,0,nan,nan,Ciudad de México,,,08:00-21:00,21/09/2017 1:33:43,,Vendas Gasas esterlizadas Alcohol Agua oxigenada Antihipertensivos Metformina Antidiarricos,,0,43,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,19.3467865,-99.1278868
84,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Calle Edén ,Las Águilas,Alvaro Obregón,nan,nan,Ciudad de México,,,08:00-21:00,21/09/2017 1:35:33,,Vendas Gasas esterlizadas Alcohol Agua oxigenada Antihipertensivos Metformina Antidiarricos,,0,44,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,19.3612295,-99.2024508
85,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Calle Galvestón,Nápoles,Benito Juárez,nan,nan,Ciudad de México,,,08:00-21:00,21/09/2017 1:36:54,,Vendas Gasas esterlizadas Alcohol Agua oxigenada Antihipertensivos Metformina Antidiarricos,,0,48,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,19.3977619,-99.1742251
86,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Emiliano Zapata,Ticuman Centro,Tlaltizapan,nan,nan,Morelos,,,08:00-21:00,21/09/2017 1:39:16,,Vendas Gasas esterlizadas Alcohol Agua oxigenada Antihipertensivos Metformina Antidiarricos,,0,7,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,18.6770143,-99.12697440000001
87,,Alimento para beb Atn en lata o bolsa Frijoles en bolsa arroz en bolsa Aceite para cocinar,0,Camino Viejo a Mixcoac,San Bartolo Ameyalco,Álvaro Obregón,nan,nan,Ciudad de México,,,08:00-21:00,21/09/2017 1:40:36,,Vendas Gasas esterlizadas Alcohol Agua oxigenada Antihipertensivos Metformina Antidiarricos,,0,100,"Papel sanitario, Toallas femeninas, Pañales, Jabón de pastilla, Toallas húmedas, Biberones",,0,,Sí,19.3366913,-99.2697764
89,No hay,Chocolate en polvo y barra Comida para mascota , herramientas y medicina (LISTERINE),Carretera Picacho-Ajusto,Ampliación Jardínes del Pedegral,Tlalpan,nan,nan,Ciudad de México,No hay,Palas Cascos Picos Cubetas,8am 12pm,21/09/2017 8:43:55,No hay,Alcohol Analgsicos Antisptico Cubre bocas Gasas Suero Vendas,COLMEX,Omar Areizaga,20,", Shampoo Jabón en barra, Desodorante, Toallas sanitarias, Papel higiénico, Pañales, ",No,5539925202,,Sí,19.3031768,-99.20763989999999
90,Varios,Todosmenos comida preparada ,Moto,Insurgentes Sur,Villa Olímpica,Tlalpan,nan,nan,Ciudad de México,Ninguna,Ninguna,24 horas,21/09/2017 9:19:06,Varios ,Antiinflamatorios antibiticos shampoo para piojos jarabe de tos,Villa Olímpica ,Renata Terrazas,0,Moto,Sí,5536594667,,Sí,19.2788115,-99.1676141
91,NInguno,NInguno,Juguetes y peluches en buen estado ,Moras ,Del Valle,Benito Juárez ,nan,nan,Ciudad de México,Ninguna,Ninguna,9 - 20,21/09/2017 9:23:13,NInguno ,Ninguno,Centro de acopio de juguetes,Renata Terrazas,416,Juguetes,No,5536594667,,Sí,19.3741316,-99.1735214
92,Perecederos,No perecederos ,Cobijas palas y picos,Cda de risco ,Pedregal,Alvaro Obregon ,nan,nan,Ciudad de México,No,Palas y picos,10 a 7,21/09/2017 10:03:36,No,Todos, risco,Maru arochi ,133,Ropa,No,5529559997,,Sí,19.3236824,-99.2091718
94,Agua,Cualquiera,Ninguna,Miguel Ángel de Quevedo,Romero de Terreros,Coyoacán,nan,nan,Ciudad de México,Ninguna,Cualquiera,9 am a 8 pm,21/09/2017 10:50:18,Jeringas gasas,Cualquiera,Marabunta Café,Juan Carlos Narvaez,485,Cajas,No,044 55 5969 3176,,Sí,19.345127,-99.17015909999999
95,No,Gente puede donar sus compras del centro comercial,No,Avenida Revolución,Nonoalco,Ciudad de México,nan,nan,Ciudad de México,NO,No,8 am a 4 pm,21/09/2017 10:56:32,NO,No,Mega Comercial,Directamente los de la comercial,780,No,No,No,,Sí,19.3798367,-99.1862148
96,No,Alimentos de animales,"Equipo médico, insumos",Patriotismo ,Nonoalco,Ciudad México,nan,nan,Ciudad de México,NO,No,24 hs,21/09/2017 11:03:06,No,gasas alcohol medicamentos papel hignico toallas sanitarias guantes material de curacin,Fonart,"Cordinados con CEDESOL, de manera oficial",691,"Agua embotellada, paniales",No,No,,Sí,19.4308414,-99.21457520000001
97,De todo,De todo,Nd,Av. Coyoacán,Del Valle,Benito Juárez,nan,nan,Ciudad de México,Nd,De todo,8 a 5 ,21/09/2017 11:05:10,De todo,Nd,Centro de Acopio Subdelegación 7 IMSS,Suhayla Bazbaz ,1540,Nd,No,5519090005,,Sí,19.3682947,-99.17154699999999
98,ninguno,todo tipo,"ninguno en particular, está iniciando y se recibe todo y se canaliza de otros albergues",Patriotismo,Nonoalco Mixcoac,Benito Juárez,nan,nan,Ciudad de México,ninguno,todo tipo,21 de septiembre TODO EL DIA. NO durante la noche,21/09/2017 11:27:19,ninguno,todo tipo,,Juliana González (encargada),733,alimentos para perros,No,5522997188,,Sí,19.3787453,-99.1853215
99,Nd,Alimentos no perecederos enlatados arroz caf frijoles lentejas galletas agia azcar sal ,Nd,Tlacoquemécatl,Del Valle,Benito Juárez,nan,nan,Ciudad de México,Nd,Nd,De 10 a 8,21/09/2017 11:27:47,Ofrecen consulta mdica consulta psicolgica consulta dental,Nd,Centro de Acopio Tlacoquemécatl,Jorge Arias de Sariñana,218,"Cloro, jergas, detergente, cubetas, franelas, limpiador",No,"5540554542, 55593885",,Sí,19.3776619,-99.1700881
100,,atn jamn pan de caja mayonesa frijoles lentejas azcar pastas jabn pastas dentales detergente toallas sanitarias paales papel higinico ,"picos, palas, guantes, cubetas",Blvd. Del Niño Poblano · ,Reserva Territorial Atlixcáyotl ,Puebla,nan,nan,Puebla,,picos palas guantes cubetas cortadoras de varillas,24 horas ,21/09/2017 11:47:37,,,Universidad Iberoamericana Puebla,Yatziri Zepeda,2901,-,No,2227208799,,Sí,19.0335049,-98.2420712
101,Agua alimentos no perecederos,Ninguno,"Impermeables gruesos, chalecos fluorescentes, cinceles, sinsayas (corta pernos 3/8), discos de diamante para cortar, limatones, gatos hidráulicos de botella de 10, clavos de acero para concreto y botas con casquillo",Insurgentes Sur,Ciudad Universitaria,Coyoacan ,nan,nan,Ciudad de México,Ninguno,Impermeables gruesos chalecos fluorescentes cinceles sinsayas corta pernos  discos de diamante para cortar limatones gatos hidrulicos de botella de  clavos de acero para concreto y botas con casquillo,24 horas,21/09/2017 11:51:17,ninguno,ninguno,Estadio Olimpico Universitario,María Fernanda,1,ninguno,No,5540656880,,Sí,19.2738227,-99.1680896
104,Ninguno,Paales Jabn Cobijas Papel sanitario Toallas sanitarias Alimento para beb Atn Caf soluble Azcar Galletas saladas Galletas dulces Sardinas Alimentos en lata abrefcil,Ninguno,Málaga Norte,Insurgentes Mixcoac,Benito Juárez,nan,nan,Ciudad de México,Ninugno,Ninguno,8:30 a 18:30,21/09/2017 12:08:39,Ninguno,Ninguno,IMIFAP,Jorge Miranda,25,Ninguno,No,+4530747037,,No,19.3752744,-99.1807583
105,ninguno,ninguno,"soluciones 500 ml, solución Hartman salina 0.9%, equipo de venoclisis, punzocat verde u azul, tablas de rescate con arnes, glocòmetro, saturas, ",Avenida Álvaro Obregón 302,Roma Norte,Cuauhtemoc,nan,nan,Ciudad de México,ninguno,ninguno,,21/09/2017 12:11:52,ninguno,ninguno,Sala Chopin ,Marce,302,ninguno,No,445539628701,,Sí,19.4160867,-99.16930300000001
106,No hace falta,No hace falta,"Medicamentos y herramientas, cubrebocas, equipos de curacion, algodón, guantes, palas, picos, herramienta para recoger escombros.",Prolongacion Paseo de la Reforma ,Santa Fe,Cuajimalpa,nan,nan,Ciudad de México,No,Palas picos herramientas para mover escombro,12:20,21/09/2017 12:16:19,no,equipos de curacion algodn guantes,Universidad Iberoamericana,Neftalí Hernández,880,No,No,5513427753,,Sí,19.3697998,-99.26389979999999
107,,Enlatados,"Enlatados, de higiene personal, material para remover escombros",Avenida de los fresnos,Arcos del alba,Cuautitlán Izcalli,nan,nan,Estado de México,,Cascos guantes picos palas,10:00 am - 11:00 pm,21/09/2017 12:23:16,,Analgesicos,Aurrerá-Autopista México-Querétaro,Diana Zurit Caballero Ortiz,69,"Dulces, ropa",No,445534004461,,Sí,19.6488721,-99.20432489999999
108,No aplica,Dulces,"Papel, pinceles, crayolas, acuarelas, libros para niños, juguetes en buen estado, colores.",Vallarta,Barrio de la Concepción,Coyoacán,nan,nan,Ciudad de México,No aplica,No aplica,12 a 4 pm,21/09/2017 12:31:59,No aplica,No medicamentos,MUSA,Pilar Arévalo,7,Ninguno,Sí,044 55 14 74 88 29,,Sí,19.349484,-99.15931909999999
109,Nada,Aceite para cocinar dulces cereales para nios azcar leche en polvo,"Jeringas para insulina, material de curación, analgésicos, cacerolas y trastes para cocinar",Santos Degollado,Los Angeles,Toluca,nan,nan,Estado de México,Nada,Guantes picos palas lamparas pilas costales,10:00 a 22:00,21/09/2017 12:32:10,Nada,Insulina jeringas para insulina analgsicos,Rock y ruedas,Alejandra Herrera,943,Articulos de higiene personal,Sí,7223903883,,No,19.3032405,-99.6431452
111,No,Todos,"Ropa, juguetes, paniales para ninios.",Felix Cuevas,Pdte. Alemán,Pdte. Alemán,nan,nan,Ciudad de México,No,Todas,Hasta que la lluvia los corra,21/09/2017 12:37:53,No,Todos,Unidad Miguel Alemán,Sra. Enriqueta Dávila Cejudo,100,Todos,Sí,5511333213,,Sí,19.3730988,-99.1761353
112,No especifica,Enlatados atn sardinas arroz sopas frijoles mayonesa,No especifica,Avenida México,Huichapan,Xochimilco,nan,nan,Ciudad de México,No especifica,Guantes de carnaza linternas pilas extensiones focos,21 de septiembre 2017 hasta las 17:00 horas,21/09/2017 12:45:27,No especifica,Material de curacin jeringas electrolitos,Colegio Alemán-Plantel Sur (Xochimilco),Colegio Alemán ,5501,"Detergentes, ropa nueva, ropa usada, zapatos, sábanas, cobijas, jabón, toallas sanitarias, pañales, cepillos de dientes, cubetas, escobas, trapeadores, cloro",No,01 55 5062 9880,,Sí,19.2646027,-99.12050819999999
113,Ninguno,caf comida enlatada,"Colchonetas, ropa limpia",Acapulco,Roma,Cuauhtemoc,nan,nan,Ciudad de México,ninguna,No se solicitan,Hasta las 11:00 pm / Solo hoy,21/09/2017 12:47:00,Sueros Jeringas leche para bebe analgsicos,No se solicitan,CENTRO DE ACOPIO PARA MILPA ALTA,Regina Tattersfield,32,Casas de campaña,No,55 2313 6522,,Sí,19.4196363,-99.1741803
114,Apenas abrieron ,Embotellados no precederos,Lo que quieran traer,Havre,Juarez,Cuauhtémoc ,nan,nan,Ciudad de México,No,No,10 am 9:00 pm,21/09/2017 12:52:19,Nada,Los que quiera ,Cancino Colonia Juarez ,Eduardo Duvos,64, No,No,52073216,,Sí,19.4256647,-99.1607252
115,,Comida enlatada no precederos,"Comida enlatada, medicamentos",Genova y Londres,Juárez,Cuauhtémoc,nan,nan,Ciudad de México,Sin dato,,Sin dato,21/09/2017 12:58:50,,Antibioticos jeringas y diverso material,Sin dato,Sin dato,0,Sin dato,Sí,Sin dato,,Sí,19.4256407,-99.1636657
117,Na,Na,"Alimentos,no,perecederos,comida,enlatada,facil,de,abrir,pañales,gel,antibacterial,palas,picos,guantes",Londres y Geniva,Juárez,Na,nan,nan,Ciudad de México,Na,Na,Na,21/09/2017 13:14:59,Na,Na,Londres y Genova,Nana,0,Na,No,Na,,Sí,19.4256886,-99.1633233
118,ninguno,ninguno,medicinas,alfonso esparza otero ,guadalupe inn,alvaro obregón,nan,nan,Ciudad de México,no,no,7:00 am hasta 11:00pm,21/09/2017 13:18:49,ninguno,Alcohol gasas vendas curitas merteolate etc Agujas del  y del  oxgeno dopamina adrenalina slbutamina inhalada catter intravenoso de  positivo analgsicos diclofenaco ketorolaco puntas nasales agua fisiolgica de  tapabocas suero solucin harmand antropina epinefrina venoclisis bentodic frulas guantes microporo bultos quirrgicos,Estacionamiento de particular  (valet parking),Jose Ferrari,108,no,Sí,5551013894,,Sí,19.3556273,-99.1856207
119,,,-,Francisco Javier Mina,Guerrero,CUAUHTEMOC,nan,nan,Ciudad de México,,,,21/09/2017 13:18:49,,,Apoyo Psicológico,Lorena,134,Brigadas de apoyo psicológico,Sí,5566985648,,Sí,19.3244356,-103.5976896
120,ninguno,todo,ninguno,Gabino Barreda,San Rafael,Cuauhtemoc,nan,nan,Ciudad de México,ninguna,todas,6 am a 10 pm,21/09/2017 13:20:47,ninguno,todo,Fit Corner (Gimnasio),Jaime Bandera,122,Partiran el sábado a Morelos con lo que junten para repartir al,No,6304-4830,,Sí,19.4354256,-99.16445300000001
121,,,-,Av Taxqueña ,EX EJIDO SAN FRANCISCO CULHUACAN,COYOACAN,nan,nan,Ciudad de México,,,,21/09/2017 13:24:51,,,Polideportivo Los Culhuacanes ,GABRIELA CAMACHO,1811,Brigadas de apoyo psicológico,Sí,5561381975,,Sí,19.3376331,-99.1236098
122,Ninguno,Alimentos no perecederos agua,"Pañales desechables, toallas sanitarias, papel higiénico, toallas, cobijas, ropa.",División del Norte,Portales Norte,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Palas picos mareos carretillas cizallas ,8:00 am - 5:00 am,21/09/2017 13:33:17,Ninguno,Alcohol material de curacin suero,División del Norte y Vertiz,Paulina Loman,1832,Todos los anteriores,No,552281490288,,Sí,19.3679569,-99.15588919999999
123,ninguno,ninguno,equipo quirúrgico descrito abajo,Av. Sonora,Condesa,Cuauhtemoc,nan,nan,Ciudad de México,ningunonin,ninguno,solicitud de 13:30,21/09/2017 13:34:16,ninguno,glucmetros pulsos bolsas verdesazules equipo de venoclisis oxgeno con laringoscopio ambus punzocat verde o azul solucin farmaglucosada tablas de rescate con arns suturas adrenalina insulina lidocana,parque España,Marce ,0,ninguno,No,445539628701,,Sí,19.4206092,-99.17361319999999
124,Alimentos preparados,Alimentos en lata con abre fcil leche en polvo alimentos no perecederos ,"Medicamentos, Insulina, penicilina, suero intravenoso, vendas #5, gasas, cubre bocas, alcohol, alcohol en gel, jeringas, artículos para bebé,  comida de perro y gato","Av. Lomas de plateros y Francisco P Miranda, enfrente de prepa 8",Plateros,Álvaro Oregon ,nan,nan,Ciudad de México,Ningna ,Palas picos cascos linternas,8:00 am a 7:00 pm,21/09/2017 13:37:32,Jeringas gasas,Insulina cido urdeoxiclico penicilina antibiticos antivirus suero intravenoso jeringas gasas cubre bocas guantes esterilizados agua oxigenada alcohol,Centro de acopio alumnado de prepa 8,Diego Leonardo Sánchez Dosta,38,"Ropa, zapatos, juguetes, bolsas de plástico, cajas, pilas",No,5551552285,,Sí,19.3670648,-99.19513409999999
