"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Direcci__n","Ciudad__Estado","Nombre","Tel__fono","Informaci__n_Adicional","URL","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.1921449, 18.655145",-99.1921449,18.655145,"Albergue Morelos","Dirección: Calle Morelos<br>Ciudad, Estado: Zacatepec Mor<br>Nombre: Estadio Agustin Coruco Diaz<br>Teléfono: 7772702314<br>Información Adicional: Calle Morelos esquina Escuadrón 201<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Calle Morelos","Zacatepec Mor","Estadio Agustin Coruco Diaz","7772702314","Calle Morelos esquina Escuadrón 201","","Escuadrón 201 2, Centro, 62780 Zacatepec de Hidalgo, Mor., Mexico","Escuadrón 201","2","Centro",62780,"Zacatepec de Hidalgo","Morelos","Mexico",18.655145,-99.1921449
"-99.19336, 18.65312",-99.19336,18.65312,"Albergue Morelos","Dirección: Galeana Cuautla<br>Ciudad, Estado: Zacatepec Mor<br>Nombre: Jardín de Niños N. Mendoza<br>Teléfono: <br>Información Adicional: Carretera Galeana - Cuautla esquina Xicoténcatl<br>URL: https://twitter.com/GobiernoMorelos/status/910494459430805506",NA,NA,NA,NA,-1,0,-1,NA,NA,"Galeana Cuautla","Zacatepec Mor","Jardín de Niños N. Mendoza","","Carretera Galeana - Cuautla esquina Xicoténcatl","https://twitter.com/GobiernoMorelos/status/910494459430805506","Xicoténcatl 1, Lazaro Cardenas, 62780 Zacatepec de Hidalgo, Mor., Mexico","Xicoténcatl","1","Lazaro Cardenas",62780,"Zacatepec de Hidalgo","Morelos","Mexico",18.65312,-99.19336
"-99.20293, 18.66482",-99.20293,18.66482,"Albergue Morelos","Dirección: Vic Guerrero<br>Ciudad, Estado: Zacatepec Mor<br>Nombre: Ayudantia de Tetelpa<br>Teléfono: <br>Información Adicional: Calle Vicente Guerrero<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Vic Guerrero","Zacatepec Mor","Ayudantia de Tetelpa","","Calle Vicente Guerrero","","Cuauhtémoc 4, Tetelpa, 62780 Zacatepec de Hidalgo, Mor., Mexico","Cuauhtémoc","4","Tetelpa",62780,"Zacatepec de Hidalgo","Morelos","Mexico",18.66482,-99.20293
"-99.207136, 18.6292019",-99.207136,18.6292019,"Albergue Morelos","Dirección: Alpuyeca Jojutl<br>Ciudad, Estado: Galeana Morelos<br>Nombre: Hotel Montecarlo<br>Teléfono: 7343430648<br>Información Adicional: Carretera Alpuyeca - Jojutla km. 13.5<br>URL: https://www.facebook.com/MonteCarloHotel/",NA,NA,NA,NA,-1,0,-1,NA,NA,"Alpuyeca Jojutl","Galeana Morelos","Hotel Montecarlo","7343430648","Carretera Alpuyeca - Jojutla km. 13.5","https://www.facebook.com/MonteCarloHotel/","Carr. Federal Alpuyeca - Jojutla, El Paraiso, Galeana, Mor., Mexico","Carretera Federal Alpuyeca - Jojutla",NA,"El Paraiso",NA,"Galeana","Morelos","Mexico",18.6292019,-99.207136
"-99.21641, 18.94091",-99.21641,18.94091,"Albergue Morelos","Dirección: Sn Diego 501 VH<br>Ciudad, Estado: Cuernavaca Mor<br>Nombre: Fund. Comunitaria Morelense<br>Teléfono: <br>Información Adicional: Av. San Diego 501, Col. Vista Hermosa Cuernavaca<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sn Diego 501 VH","Cuernavaca Mor","Fund. Comunitaria Morelense","","Av. San Diego 501, Col. Vista Hermosa Cuernavaca","","Río Sinaloa 423, zona 1, Vista Hermosa, 62290 Cuernavaca, Mor., Mexico","Río Sinaloa","423","Vista Hermosa",62290,"Cuernavaca","Morelos","Mexico",18.94091,-99.21641
"-99.3985676, 18.7290321",-99.3985676,18.7290321,"Albergue Morelos","Dirección: Aldama<br>Ciudad, Estado: Tetecala Mor<br>Nombre: Presidencia municipal de tetecala<br>Teléfono: +52 751 396 0352<br>Información Adicional: Aldama esquina Matamoros<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Aldama","Tetecala Mor","Presidencia municipal de tetecala","+52 751 396 0352","Aldama esquina Matamoros","","Calle de Matamoros 15, Tetecala, Mor., Mexico","Calle de Matamoros","15",NA,NA,"Tetecala","Morelos","Mexico",18.7290321,-99.3985676
"-99.1994238, 19.3879044",-99.1994238,19.3879044,"Albergue","Dirección: Escuadrón 201<br>Ciudad, Estado: Álvaro Obregón<br>Nombre: Gimnasio G3<br>Teléfono: <br>Información Adicional: <br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Escuadrón 201","Álvaro Obregón","Gimnasio G3","","","","Escuadrón 201 15, Sede Delegacional, 01150 Ciudad de México, CDMX, Mexico","Escuadrón 201","15","Sede Delegacional",1150,"Álvaro Obregón","Ciudad de México","Mexico",19.3879044,-99.1994238
"-99.1994238, 19.3879044",-99.1994238,19.3879044,"Albergue","Dirección: Escuadrón 201<br>Ciudad, Estado: Álvaro Obregón<br>Nombre: Gimnasio G3<br>Teléfono: <br>Información Adicional: <br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Escuadrón 201","Álvaro Obregón","Gimnasio G3","","","","Escuadrón 201 15, Sede Delegacional, 01150 Ciudad de México, CDMX, Mexico","Escuadrón 201","15","Sede Delegacional",1150,"Álvaro Obregón","Ciudad de México","Mexico",19.3879044,-99.1994238
"-99.1843859, 19.4840941",-99.1843859,19.4840941,"Albergue","Dirección: Castilla Oriente<br>Ciudad, Estado: CDMX<br>Nombre: Delegación Azcapotzalco<br>Teléfono: +52 55 5353 8503<br>Información Adicional: Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México<br>URL: delegacionazcapotzalco.com.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"Castilla Oriente","CDMX","Delegación Azcapotzalco","+52 55 5353 8503","Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México","delegacionazcapotzalco.com.mx","Calle Castilla Ote. 61F, Los Reyes, 02010 Ciudad de México, CDMX, Mexico","Calle Castilla Oriente","61F","Los Reyes",2010,"Azcapotzalco","Ciudad de México","Mexico",19.4840941,-99.1843859
"-99.1843859, 19.4840941",-99.1843859,19.4840941,"Albergue","Dirección: Castilla Oriente<br>Ciudad, Estado: CDMX<br>Nombre: Delegación Azcapotzalco<br>Teléfono: +52 55 5353 8503<br>Información Adicional: Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México<br>URL: delegacionazcapotzalco.com.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"Castilla Oriente","CDMX","Delegación Azcapotzalco","+52 55 5353 8503","Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México","delegacionazcapotzalco.com.mx","Calle Castilla Ote. 61F, Los Reyes, 02010 Ciudad de México, CDMX, Mexico","Calle Castilla Oriente","61F","Los Reyes",2010,"Azcapotzalco","Ciudad de México","Mexico",19.4840941,-99.1843859
"-99.1843859, 19.4840941",-99.1843859,19.4840941,"Albergue","Dirección: Castilla Oriente<br>Ciudad, Estado: CDMX<br>Nombre: Delegación Azcapotzalco<br>Teléfono: +52 55 5353 8503<br>Información Adicional: Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México<br>URL: delegacionazcapotzalco.com.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"Castilla Oriente","CDMX","Delegación Azcapotzalco","+52 55 5353 8503","Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México","delegacionazcapotzalco.com.mx","Calle Castilla Ote. 61F, Los Reyes, 02010 Ciudad de México, CDMX, Mexico","Calle Castilla Oriente","61F","Los Reyes",2010,"Azcapotzalco","Ciudad de México","Mexico",19.4840941,-99.1843859
"-99.19285, 19.49844",-99.19285,19.49844,"Albergue SEDESO","Dirección: Av. del Rosario<br>Ciudad, Estado: Azcapotzalco<br>Nombre: CAIS Azcapotzalco<br>Teléfono: <br>Información Adicional: Col. San Martín Xochinahuac, Del. Azcapotzalco, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Av. del Rosario","Azcapotzalco","CAIS Azcapotzalco","","Col. San Martín Xochinahuac, Del. Azcapotzalco, CDMX","","Av El Rosario 502, Azcapotzalco, 02120 Ciudad de México, CDMX, Mexico","Avenida El Rosario","502","Azcapotzalco",2120,"Azcapotzalco","Ciudad de México","Mexico",19.49844,-99.19285
"-99.1586286, 19.3715078",-99.1586286,19.3715078,"Albergue Delegacional","Dirección: Calle Uxmal<br>Ciudad, Estado: Benito Juárez<br>Nombre: Centro Deportivo ""Benito Juárez""<br>Teléfono: +52 55 6632 4700<br>Información Adicional: Calle Uxmal 807B, Sta Cruz Atoyac, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Calle Uxmal","Benito Juárez","Centro Deportivo ""Benito Juárez""","+52 55 6632 4700","Calle Uxmal 807B, Sta Cruz Atoyac, CDMX","","Calle Uxmal 811, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX, Mexico","Calle Uxmal","811","Santa Cruz Atoyac",3310,"Benito Juárez","Ciudad de México","Mexico",19.3715078,-99.1586286
"-99.2855667, 19.3639264",-99.2855667,19.3639264,"Albergue","Dirección: Castorena 545<br>Ciudad, Estado: CDMX<br>Nombre: Deportivo Morelos<br>Teléfono: <br>Información Adicional: <br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Castorena 545","CDMX","Deportivo Morelos","","","","Calle José María Castorena 84, Rosa Torres, 05200 Ciudad de México, CDMX, Mexico","Calle José María Castorena","84","Rosa Torres",5200,"Cuajimalpa de Morelos","Ciudad de México","Mexico",19.3639264,-99.2855667
"-99.1284223, 19.4406296",-99.1284223,19.4406296,"Albergue","Dirección: Peña S/N<br>Ciudad, Estado: CDMX<br>Nombre: Plaza del Estudiante<br>Teléfono: <br>Información Adicional: Peña S/N, Cuauhtemoc, centro historico-alameda, Centro, 06020 Ciudad de México<br>URL: www.mexicocity.gob.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"Peña S/N","CDMX","Plaza del Estudiante","","Peña S/N, Cuauhtemoc, centro historico-alameda, Centro, 06020 Ciudad de México","www.mexicocity.gob.mx","Manuel de la Peña y Peña 15, Centro, 06000 Ciudad de México, CDMX, Mexico","Manuel de la Peña y Peña","15","Centro",6000,"Cuauhtémoc","Ciudad de México","Mexico",19.4406296,-99.1284223
"-99.1721589, 19.4053202",-99.1721589,19.4053202,"Albergue","Dirección: Sindicalismo 3<br>Ciudad, Estado: CDMX<br>Nombre: Junior Club<br>Teléfono: +52 55 5277 7666<br>Información Adicional: Sindicalismo 3, Col. Hipódromo Condesa, 06170 Ciudad de México<br>URL: www.juniorclub.com.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sindicalismo 3","CDMX","Junior Club","+52 55 5277 7666","Sindicalismo 3, Col. Hipódromo Condesa, 06170 Ciudad de México","www.juniorclub.com.mx","Sindicalismo 3, Hipódromo, 06100 Ciudad de México, CDMX, Mexico","Sindicalismo","3","Hipódromo",6100,"Cuauhtémoc","Ciudad de México","Mexico",19.4053202,-99.1721589
"-99.1480861, 19.4397608",-99.1480861,19.4397608,"Albergue","Dirección: Calle Mina 134<br>Ciudad, Estado: CDMX<br>Nombre: Oficinas Administrativas del deportivo Mina<br>Teléfono: +52 55 4335 8203<br>Información Adicional: Calle Mina 134, Centro Histórico, Guerrero, 06300 Cuauhtémoc<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Calle Mina 134","CDMX","Oficinas Administrativas del deportivo Mina","+52 55 4335 8203","Calle Mina 134, Centro Histórico, Guerrero, 06300 Cuauhtémoc","","Calle Mina 140, Centro Histórico, Guerrero, 06300 Ciudad de México, CDMX, Mexico","Calle Mina","140","Guerrero",6300,"Cuauhtémoc","Ciudad de México","Mexico",19.4397608,-99.1480861
"-99.1514075, 19.4424244",-99.1514075,19.4424244,"Albergue","Dirección: Luis D.Colosio<br>Ciudad, Estado: CDMX<br>Nombre: Deportivo Cuauhtemoc<br>Teléfono: +52 55 2452 3326<br>Información Adicional: Luis Donaldo Colosio esq. Aldama, Buenavista, 06350 Ciudad de México<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Luis D.Colosio","CDMX","Deportivo Cuauhtemoc","+52 55 2452 3326","Luis Donaldo Colosio esq. Aldama, Buenavista, 06350 Ciudad de México","","Luis Donaldo Colosio 269, Buenavista, 06350 Ciudad de México, CDMX, Mexico","Luis Donaldo Colosio","269","Buenavista",6350,"Cuauhtémoc","Ciudad de México","Mexico",19.4424244,-99.1514075
"-99.1542455, 19.4408745",-99.1542455,19.4408745,"Albergue SEDESO","Dirección: Bernal Díaz<br>Ciudad, Estado: Cuauhtémoc<br>Nombre: Hogar CDMX<br>Teléfono: <br>Información Adicional: Díaz del Castillo #34, Col. Buenavista, Del. Cuauhtémoc<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Bernal Díaz","Cuauhtémoc","Hogar CDMX","","Díaz del Castillo #34, Col. Buenavista, Del. Cuauhtémoc","","Bernal Díaz 34, Buenavista, 06350 Ciudad de México, CDMX, Mexico","Bernal Díaz","34","Buenavista",6350,"Cuauhtémoc","Ciudad de México","Mexico",19.4408745,-99.1542455
"-99.159583, 19.4553387",-99.159583,19.4553387,"Albergue","Dirección: Fresno 301<br>Ciudad, Estado: CDMX<br>Nombre: Martires de Tlatelolco Popular high A.C.<br>Teléfono: +52 55 5547 1168<br>Información Adicional: Calle Fresno 301, Cuauhtémoc, Atlampa, 06450 Ciudad de México<br>URL: prepafresno.com",NA,NA,NA,NA,-1,0,-1,NA,NA,"Fresno 301","CDMX","Martires de Tlatelolco Popular high A.C.","+52 55 5547 1168","Calle Fresno 301, Cuauhtémoc, Atlampa, 06450 Ciudad de México","prepafresno.com","Av. Ricardo Flores Magón 434, Sta María la Ribera, 06400 Ciudad de México, CDMX, Mexico","Avenida Ricardo Flores Magón","434","Santa María la Ribera",6400,"Cuauhtémoc","Ciudad de México","Mexico",19.4553387,-99.159583
"-99.1100992, 19.4832959",-99.1100992,19.4832959,"Albergue","Dirección: Eje 5 Nte.<br>Ciudad, Estado: CDMX<br>Nombre: Casa Del Peregrino San Juan Diego<br>Teléfono: <br>Información Adicional: Eje 5 Nte Calz San Juan de ARAGON 63, Villa Gustavo A. Madero, 07050 Ciudad de México<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Eje 5 Nte.","CDMX","Casa Del Peregrino San Juan Diego","","Eje 5 Nte Calz San Juan de ARAGON 63, Villa Gustavo A. Madero, 07050 Ciudad de México","","Calz. San Juan de Aragón 69-109, 15 de Agosto, 07050 Ciudad de México, CDMX, Mexico","Calzada San Juan de Aragón","69-109","15 de Agosto",7050,"Gustavo A. Madero","Ciudad de México","Mexico",19.4832959,-99.1100992
"-99.1544867, 19.5062908",-99.1544867,19.5062908,"Albergue","Dirección: Margarita Maza de Juárez 150<br>Ciudad, Estado: CDMX<br>Nombre: Villa Deportiva Margarita Maza De Juarez<br>Teléfono: <br>Información Adicional: <br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Margarita Maza de Juárez 150","CDMX","Villa Deportiva Margarita Maza De Juarez","","","","Margarita Maza de Juárez 150B, Margarita Maza de Juárez Deportivo, 07700 Ciudad de México, CDMX, Mexico","Margarita Maza de Juárez","150B","Margarita Maza de Juárez Deportivo",7700,"Gustavo A. Madero","Ciudad de México","Mexico",19.5062908,-99.1544867
"-99.1548752, 19.5070796",-99.1548752,19.5070796,"Albergue SEDESO","Dirección: Maza de Juárez<br>Ciudad, Estado: CDMX<br>Nombre: Centro de Asistencia e Integración Social Villa Mujeres<br>Teléfono: 5553921837<br>Información Adicional: Av. Maza de Juález 150 Bis, Col. Patera Vallejo, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Maza de Juárez","CDMX","Centro de Asistencia e Integración Social Villa Mujeres","5553921837","Av. Maza de Juález 150 Bis, Col. Patera Vallejo, CDMX","","Margarita Maza de Juárez 150, Nueva Industrial Vallejo, 07700 Ciudad de México, CDMX, Mexico","Margarita Maza de Juárez","150","Nueva Industrial Vallejo",7700,"Gustavo A. Madero","Ciudad de México","Mexico",19.5070796,-99.1548752
"-99.1317148, 19.3990368",-99.1317148,19.3990368,"Albergue SEDESO","Dirección: Sur 65-A #3246<br>Ciudad, Estado: Iztacalco, CDMX<br>Nombre: Cais Coruña Jóvenes<br>Teléfono: 5555196650<br>Información Adicional: Col. Viaducto Piedad, entre Coruña y Santa Anita, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sur 65-A #3246","Iztacalco, CDMX","Cais Coruña Jóvenes","5555196650","Col. Viaducto Piedad, entre Coruña y Santa Anita, CDMX","","Calz. Sta. Anita 126, Viaducto Piedad, 08200 Ciudad de México, CDMX, Mexico","Calzada Santa Anita","126","Viaducto Piedad",8200,"Iztacalco","Ciudad de México","Mexico",19.3990368,-99.1317148
"-99.116821, 19.401274",-99.116821,19.401274,"Albergue","Dirección: Cólica 16<br>Ciudad, Estado: CDMX<br>Nombre: Centro Social<br>Teléfono: +52 55 5649 3660<br>Información Adicional: Cólica 16, Fraccionamiento Coyuya, Ciudad de México, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Cólica 16","CDMX","Centro Social","+52 55 5649 3660","Cólica 16, Fraccionamiento Coyuya, Ciudad de México, CDMX","","Cólica 161, Coyuya, 08320 Ciudad de México, CDMX, Mexico","Cólica","161","Coyuya",8320,"Iztacalco","Ciudad de México","Mexico",19.401274,-99.116821
"-99.0818493, 19.3935445",-99.0818493,19.3935445,"Albergue","Dirección: Sur 20<br>Ciudad, Estado: CDMX<br>Nombre: CIAM<br>Teléfono: <br>Información Adicional: sur 20 esquina 229 Agrícola Oriental, 08500 Ciudad de México<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sur 20","CDMX","CIAM","","sur 20 esquina 229 Agrícola Oriental, 08500 Ciudad de México","","Sur 20 168, Agrícola Oriental, 08500 Ciudad de México, CDMX, Mexico","Sur 20","168","Agrícola Oriental",8500,"Iztacalco","Ciudad de México","Mexico",19.3935445,-99.0818493
"-99.1729651, 19.4542315",-99.1729651,19.4542315,"Albergue Delegacional","Dirección: FC Cuernavaca<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: Deportivo Plan Sexenal<br>Teléfono: 5553418817<br>Información Adicional: Ferrocarril de Cuernavaca sn, Miguel Hidalgo, CDMX<br>URL: www.miguelhidalgo.gob.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"FC Cuernavaca","Miguel Hidalgo","Deportivo Plan Sexenal","5553418817","Ferrocarril de Cuernavaca sn, Miguel Hidalgo, CDMX","www.miguelhidalgo.gob.mx","Plan de Guadalupe 82, Nextitla, 11420 Ciudad de México, CDMX, Mexico","Plan de Guadalupe","82","Nextitla",11420,"Miguel Hidalgo","Ciudad de México","Mexico",19.4542315,-99.1729651
"-99.1933737, 19.4489988",-99.1933737,19.4489988,"Albergue Delegacional","Dirección: Lago Erne<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: Deportivo José María Morelos y Pavon<br>Teléfono: 5553996461<br>Información Adicional: Lago Erne sn, Col. Reforma Pensil, Miguel Hidalgo, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Lago Erne","Miguel Hidalgo","Deportivo José María Morelos y Pavon","5553996461","Lago Erne sn, Col. Reforma Pensil, Miguel Hidalgo, CDMX","","Lago Wetter 28BIS, Reforma Pensil, 11440 Ciudad de México, CDMX, Mexico","Lago Wetter","28BIS","Reforma Pensil",11440,"Miguel Hidalgo","Ciudad de México","Mexico",19.4489988,-99.1933737
"-99.1933737, 19.4489988",-99.1933737,19.4489988,"Albergue Delegacional","Dirección: Lago Erne<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: Deportivo José María Morelos y Pavon<br>Teléfono: 5553996461<br>Información Adicional: Lago Erne sn, Col. Reforma Pensil, Miguel Hidalgo, CDMX<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Lago Erne","Miguel Hidalgo","Deportivo José María Morelos y Pavon","5553996461","Lago Erne sn, Col. Reforma Pensil, Miguel Hidalgo, CDMX","","Lago Wetter 28BIS, Reforma Pensil, 11440 Ciudad de México, CDMX, Mexico","Lago Wetter","28BIS","Reforma Pensil",11440,"Miguel Hidalgo","Ciudad de México","Mexico",19.4489988,-99.1933737
