X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,unnamed__1_,Marca_temporal,Calle,Numero_aproximado,Colonia,Delegacion,Nombre_contacto,Telefono,Articulos_Urgentes,Alimentos_Faltantes,Alimentos_Existentes,Medicamentos_Faltantes,Medicamentos_Existentes,Herramientas_Faltantes,Herramientas_Existentes,Otros_Articulos,Horario_Atencion,Requieren_voluntarios,Verificado,Estado,latitud,longitud
,,Plaza de la Tranparencia,"unnamed (1): 21<br>Marca temporal: 20/09/17 18:50<br>Calle: La Morena  Esq Cuauhtémoc<br>Numero_aproximado: 865<br>Colonia: Narvarte Poniente<br>Delegacion: Benito Juárez<br>Nombre_contacto: Claudia Pedraza<br>Telefono: 5545337115<br>Articulos_Urgentes: cobijas, lámparas, pilas<br>Alimentos_Faltantes: alimentos enlatados, alimentos enlatados para bebés, agua<br>Alimentos_Existentes: alimentos perecederos<br>Medicamentos_Faltantes: analgésicos, gasas, alcohol<br>Medicamentos_Existentes: vendas, jeringas<br>Herramientas_Faltantes: <br>Herramientas_Existentes: no herramientas<br>Otros_Articulos: <br>Horario_Atencion: 24 horas<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,21.0,20/09/17 18:50,La Morena  Esq Cuauhtémoc,865.0,Narvarte Poniente,Benito Juárez,Claudia Pedraza,5545337115,"cobijas, lámparas, pilas","alimentos enlatados, alimentos enlatados para bebés, agua",alimentos perecederos,"analgésicos, gasas, alcohol","vendas, jeringas",,no herramientas,,24 horas,No,,,,
-99.0110186,19.3738132,Conquistando Fronteras Ciudad de Mexico,"unnamed (1): 22<br>Marca temporal: 20/09/17 18:52<br>Calle: Emilio Campa   <br>Numero_aproximado: 173<br>Colonia: Santa Martha Acatitla<br>Delegacion: Iztapalapa<br>Nombre_contacto: Alejandro Escobedo<br>Telefono: 55 5441 7177<br>Articulos_Urgentes: <br>Alimentos_Faltantes: Atún en lata abre-fácil, Sardinas en lata abre-fácil, Frijoles en bolsa, Arroz en bolsa, Lentejas en bolsa, Sopa de pasta en bolsa, Chiles en lata abre-fácil, Consomé de pollo, Verduras en lata abre-fácil, Sal en bolsa, Mayonesa, Aceite para cocinar, Café soluble, Azúcar, Mermelada, Chocolate en polvo, Galletas saladas y dulces, Agua embotellada<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Jabón quirúrgico, Isodine. Vendas de 5"",10"",15"", Gasas, Algodón, Normogotero, Cubrebocas, Guantes, Agua oxigenada, Jeringas 10,20cm, Catéter # 18, 16, 20, 22.<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Cubetas de 20 kg, Palas, Picos, Lazos, Marros de 5 kg, Chalecos antireflejantes, Cascos, Guantes de carnaza<br>Herramientas_Existentes: <br>Otros_Articulos: Papel sanitario, Toallas femeninas, Cepillo dental, Pasta dental, Champú, Jabón de pastilla, Rastrillos, Pañales,Toallas húmedas<br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.3738132<br>longitud: -99.0110186",,,,,-1,0,-1,,,22.0,20/09/17 18:52,Emilio Campa,173.0,Santa Martha Acatitla,Iztapalapa,Alejandro Escobedo,55 5441 7177,,"Atún en lata abre-fácil, Sardinas en lata abre-fácil, Frijoles en bolsa, Arroz en bolsa, Lentejas en bolsa, Sopa de pasta en bolsa, Chiles en lata abre-fácil, Consomé de pollo, Verduras en lata abre-fácil, Sal en bolsa, Mayonesa, Aceite para cocinar, Café soluble, Azúcar, Mermelada, Chocolate en polvo, Galletas saladas y dulces, Agua embotellada",,"Jabón quirúrgico, Isodine. Vendas de 5"",10"",15"", Gasas, Algodón, Normogotero, Cubrebocas, Guantes, Agua oxigenada, Jeringas 10,20cm, Catéter # 18, 16, 20, 22.",,"Cubetas de 20 kg, Palas, Picos, Lazos, Marros de 5 kg, Chalecos antireflejantes, Cascos, Guantes de carnaza",,"Papel sanitario, Toallas femeninas, Cepillo dental, Pasta dental, Champú, Jabón de pastilla, Rastrillos, Pañales,Toallas húmedas",,No,Sí,,19.3738132,-99.0110186
-99.1235831,19.3485767,,"unnamed (1): 23<br>Marca temporal: 20/09/17 19:37<br>Calle: Paseo de los naranjos<br>Numero_aproximado: 8<br>Colonia: Paseo de las montañas <br>Delegacion: Coyoacan<br>Nombre_contacto: Camila<br>Telefono: 5554381564<br>Articulos_Urgentes: Bolsas y de despensa <br>Alimentos_Faltantes: Despensa <br>Alimentos_Existentes: Medicamentos, agua<br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: En general<br>Otros_Articulos: <br>Horario_Atencion: Hasta 20 de septiembre 2100<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.3485767<br>longitud: -99.1235831",,,,,-1,0,-1,,,23.0,20/09/17 19:37,Paseo de los naranjos,8.0,Paseo de las montañas,Coyoacan,Camila,5554381564,Bolsas y de despensa,Despensa,"Medicamentos, agua",,,,En general,,Hasta 20 de septiembre 2100,No,,,19.3485767,-99.1235831
,,Hipodromo de las Américas,"unnamed (1): 24<br>Marca temporal: 20/09/17 19:42<br>Calle: Industria militar puerta 2 <br>Numero_aproximado: 2<br>Colonia: Miguel Hidalgo <br>Delegacion: Miguel Hidalgo <br>Nombre_contacto: Sandra Alaman <br>Telefono: 5554153492<br>Articulos_Urgentes: Cubrebocas de asbesto, guantes de carnaza, cascos, lentes, guantes de protección, guantes quirúrgicos, tapabocas, café, plásticos, mantas, material de curación, agua, alimento preparado para voluntarios y rescatistas.<br>Alimentos_Faltantes: Alimentos preparados( sándwiches, torras), pan, jamón, queso, mayonesa, mostaza, latas de atún, latas de frijoles, barras energéticas, café soluble, sardinas, agua embotellada, electrolitos, croquetas <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Gasas, agua oxigenada, antisépticos, vendas, a pósitos, alcohol, vendas, jabón quirúrgico, guantes quirúrgicos <br>Medicamentos_Existentes: Ningún medicamento <br>Herramientas_Faltantes: Palas, sierras, guantes,Cubrebocas de asbesto, guantes de carnaza, cascos, lentes, guantes de protección, linternas, pilas<br>Herramientas_Existentes: <br>Otros_Articulos: impermeables, lonas, mantas, mantas térmicas,pilas, chamarras.<br>Horario_Atencion: 9am a 19:00 hrs <br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,24.0,20/09/17 19:42,Industria militar puerta 2,2.0,Miguel Hidalgo,Miguel Hidalgo,Sandra Alaman,5554153492,"Cubrebocas de asbesto, guantes de carnaza, cascos, lentes, guantes de protección, guantes quirúrgicos, tapabocas, café, plásticos, mantas, material de curación, agua, alimento preparado para voluntarios y rescatistas.","Alimentos preparados( sándwiches, torras), pan, jamón, queso, mayonesa, mostaza, latas de atún, latas de frijoles, barras energéticas, café soluble, sardinas, agua embotellada, electrolitos, croquetas",,"Gasas, agua oxigenada, antisépticos, vendas, a pósitos, alcohol, vendas, jabón quirúrgico, guantes quirúrgicos",Ningún medicamento,"Palas, sierras, guantes,Cubrebocas de asbesto, guantes de carnaza, cascos, lentes, guantes de protección, linternas, pilas",,"impermeables, lonas, mantas, mantas térmicas,pilas, chamarras.",9am a 19:00 hrs,Sí,Sí,,,
-99.1519328,19.4020643,Calle de peten y Zapata,"unnamed (1): 25<br>Marca temporal: 20/09/17 20:00<br>Calle: Peten <br>Numero_aproximado: 915<br>Colonia: Portales <br>Delegacion: Portales norte <br>Nombre_contacto: Daniela garcia <br>Telefono: +52 1 55 3388 3504<br>Articulos_Urgentes: cascos, mazos grandes, guantes. personas adentro. lámparas. no necesitan gente, solo cosas. mañana 7am de vuelta.<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Sierra para concreto <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.4020643<br>longitud: -99.1519328",,,,,-1,0,-1,,,25.0,20/09/17 20:00,Peten,915.0,Portales,Portales norte,Daniela garcia,+52 1 55 3388 3504,"cascos, mazos grandes, guantes. personas adentro. lámparas. no necesitan gente, solo cosas. mañana 7am de vuelta.",,,,,Sierra para concreto,,,,No,Sí,,19.4020643,-99.1519328
,,Galerias Coapa,"unnamed (1): 26<br>Marca temporal: 20/09/17 20:01<br>Calle: Calzada del Huezo<br>Numero_aproximado: 519<br>Colonia: Residencial Miramontes<br>Delegacion: Coyoacán<br>Nombre_contacto: Montserrat Castillo<br>Telefono: +45 30747037<br>Articulos_Urgentes: <br>Alimentos_Faltantes: Pilas, lámparas, cubrebocas<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,26.0,20/09/17 20:01,Calzada del Huezo,519.0,Residencial Miramontes,Coyoacán,Montserrat Castillo,+45 30747037,,"Pilas, lámparas, cubrebocas",,,,,,,,Sí,Sí,,,
,,Centro de Tlalpan,"unnamed (1): 27<br>Marca temporal: 20/09/17 20:10<br>Calle: Av. 8 Multifamiliares Tlalpan<br>Numero_aproximado: 8<br>Colonia: Campestre Churubusco <br>Delegacion: Coyoacán <br>Nombre_contacto: Luis Hernández <br>Telefono: 5535583554<br>Articulos_Urgentes: Lámparas de mano y minero, Insulina, extensiones, Focos, Pilas, Soquets.<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Jeringas<br>Medicamentos_Existentes: Insulina <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: Todo el día <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,27.0,20/09/17 20:10,Av. 8 Multifamiliares Tlalpan,8.0,Campestre Churubusco,Coyoacán,Luis Hernández,5535583554,"Lámparas de mano y minero, Insulina, extensiones, Focos, Pilas, Soquets.",,,Jeringas,Insulina,,,,Todo el día,No,Sí,,,
,,Croqueton en acción,"unnamed (1): 28<br>Marca temporal: 20/09/17 20:15<br>Calle: Meztli manzana 60<br>Numero_aproximado: 10<br>Colonia: Arenal segunda secc <br>Delegacion: Venustiano Carranza <br>Nombre_contacto: Mabel pintor<br>Telefono: 5.21557E+12<br>Articulos_Urgentes: Alimento<br>Alimentos_Faltantes: Croquetas, latas<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,28.0,20/09/17 20:15,Meztli manzana 60,10.0,Arenal segunda secc,Venustiano Carranza,Mabel pintor,5.21557E+12,Alimento,"Croquetas, latas",,,,,,,,Sí,Sí,,,
-99.2027741,19.3050129,Instituto Educativo Olinca,"unnamed (1): 29<br>Marca temporal: 20/09/17 20:51<br>Calle: Periférico Sur<br>Numero_aproximado: 5170<br>Colonia: Pedregal de Carrazco<br>Delegacion: Coyoacán<br>Nombre_contacto: Ybette Noguez<br>Telefono: No hay uno en especifico.<br>Articulos_Urgentes: Material Curativo.<br>Alimentos_Faltantes: Atún, frijol y verduras en lata.<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Alcohol, gazas, agua oxigenada<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: Cajas de carton<br>Horario_Atencion: 10:00 a.m. - 17:00 p.m.<br>Requieren_voluntarios: No<br>Verificado: No<br>Estado: <br>latitud: 19.3050129<br>longitud: -99.2027741",,,,,-1,0,-1,,,29.0,20/09/17 20:51,Periférico Sur,5170.0,Pedregal de Carrazco,Coyoacán,Ybette Noguez,No hay uno en especifico.,Material Curativo.,"Atún, frijol y verduras en lata.",,"Alcohol, gazas, agua oxigenada",,,,Cajas de carton,10:00 a.m. - 17:00 p.m.,No,No,,19.3050129,-99.2027741
-99.1657168,19.3894871,Yacatas y concepcion beistegui,"unnamed (1): 30<br>Marca temporal: 20/09/17 20:52<br>Calle: Yacatas y concepcion beistegui<br>Numero_aproximado: 0<br>Colonia: Narvarte<br>Delegacion: Benito Juárez <br>Nombre_contacto: Carolina torres<br>Telefono: 5534882295<br>Articulos_Urgentes: Vendas, gasas, agua oxigenada, venoclisis, suero quirúrgico, jeringas, catéteres, insulina, jeringas de insulina, medicamento para la presión alta, ketorolaco, benzodine, pañales, toallas de bebé, toallas sanitarias.<br>Alimentos_Faltantes: Enlatados, azúcar, agua, pan, <br>Alimentos_Existentes: Comida preparada.<br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: No sobran<br>Herramientas_Faltantes: Guantes, picos, palas, cubetas, lentes, pilas, cascos, martillos.<br>Herramientas_Existentes: No sobran<br>Otros_Articulos: <br>Horario_Atencion: Van a estar toda la noche, mañana salen con coches a puebla y jojutla. <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.3894871<br>longitud: -99.1657168",,,,,-1,0,-1,,,30.0,20/09/17 20:52,Yacatas y concepcion beistegui,0.0,Narvarte,Benito Juárez,Carolina torres,5534882295,"Vendas, gasas, agua oxigenada, venoclisis, suero quirúrgico, jeringas, catéteres, insulina, jeringas de insulina, medicamento para la presión alta, ketorolaco, benzodine, pañales, toallas de bebé, toallas sanitarias.","Enlatados, azúcar, agua, pan,",Comida preparada.,,No sobran,"Guantes, picos, palas, cubetas, lentes, pilas, cascos, martillos.",No sobran,,"Van a estar toda la noche, mañana salen con coches a puebla y jojutla.",No,Sí,,19.3894871,-99.1657168
-99.1292587,19.4925823,Parque Miguel Alemán,"unnamed (1): 31<br>Marca temporal: 20/09/17 20:53<br>Calle: Lindavista<br>Numero_aproximado: 267<br>Colonia: Lindavista<br>Delegacion: Gustavo A. Madero<br>Nombre_contacto: Luis Angel Pérez<br>Telefono: 5538043600<br>Articulos_Urgentes: Lonas, Impermeables, Lámparas, Pilas<br>Alimentos_Faltantes: Abarrotes en general y no perecederos<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: <br>latitud: 19.4925823<br>longitud: -99.1292587",,,,,-1,0,-1,,,31.0,20/09/17 20:53,Lindavista,267.0,Lindavista,Gustavo A. Madero,Luis Angel Pérez,5538043600,"Lonas, Impermeables, Lámparas, Pilas",Abarrotes en general y no perecederos,,,,,,,,Sí,Sí,,19.4925823,-99.1292587
,,La Taska,"unnamed (1): 32<br>Marca temporal: 20/09/17 20:57<br>Calle: Avenida Las Torres esq. Paseo de la Asuncion<br>Numero_aproximado: 725<br>Colonia: La asuncion<br>Delegacion: Metepec<br>Nombre_contacto: Jorge Guadarrama<br>Telefono: 7222548099<br>Articulos_Urgentes: Alcohol, vendas, agua, comida abre facil, medicinas, articulos de higiene personal, palas, picos<br>Alimentos_Faltantes: Agua, atun, frijoles, arroz, galletas<br>Alimentos_Existentes: Sopas<br>Medicamentos_Faltantes: Gasa, alcohol, jeringas, agua oxigenada<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Palas, picos, linternas<br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: 5 PM a 11 PM<br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,32.0,20/09/17 20:57,Avenida Las Torres esq. Paseo de la Asuncion,725.0,La asuncion,Metepec,Jorge Guadarrama,7222548099,"Alcohol, vendas, agua, comida abre facil, medicinas, articulos de higiene personal, palas, picos","Agua, atun, frijoles, arroz, galletas",Sopas,"Gasa, alcohol, jeringas, agua oxigenada",,"Palas, picos, linternas",,,5 PM a 11 PM,No,Sí,,,
-99.1383794,19.3084105,Deportivo de los Electricistas,unnamed (1): 33<br>Marca temporal: 20/09/17 21:01<br>Calle: Calzada del Hueso<br>Numero_aproximado: 380<br>Colonia: Girasoles III<br>Delegacion: Coyoacán<br>Nombre_contacto: Myrna Ivonne Flores Guillen<br>Telefono: 5578708015<br>Articulos_Urgentes: Ropa para bebés<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: <br>latitud: 19.3084105<br>longitud: -99.1383794,,,,,-1,0,-1,,,33.0,20/09/17 21:01,Calzada del Hueso,380.0,Girasoles III,Coyoacán,Myrna Ivonne Flores Guillen,5578708015,Ropa para bebés,,,,,,,,,Sí,Sí,,19.3084105,-99.1383794
-99.2090627,19.3260886,Sherwood agua 787 pedregal san angel,"unnamed (1): 34<br>Marca temporal: 20/09/17 21:05<br>Calle: Agua <br>Numero_aproximado: 787<br>Colonia: Pedregal <br>Delegacion: San angel <br>Nombre_contacto: Susana casares <br>Telefono: 5585334731<br>Articulos_Urgentes: <br>Alimentos_Faltantes: <br>Alimentos_Existentes: Comida enlatada, agua, ropa, articulo de limpieza personal, juguetes, <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: 8:30 am a 6 pm <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.3260886<br>longitud: -99.2090627",,,,,-1,0,-1,,,34.0,20/09/17 21:05,Agua,787.0,Pedregal,San angel,Susana casares,5585334731,,,"Comida enlatada, agua, ropa, articulo de limpieza personal, juguetes,",,,,,,8:30 am a 6 pm,No,Sí,,19.3260886,-99.2090627
-99.1596354,19.4167949,Coordinadora Nacional de Mujeres Indígenas Conami,"unnamed (1): 35<br>Marca temporal: 20/09/17 21:46<br>Calle: Guanajuato<br>Numero_aproximado: 125<br>Colonia: Roma<br>Delegacion: Cuauhtémoc<br>Nombre_contacto: Ariana<br>Telefono: 5516829713<br>Articulos_Urgentes: lonas, lámparas, tiendas de campaña<br>Alimentos_Faltantes: no<br>Alimentos_Existentes: no<br>Medicamentos_Faltantes: no<br>Medicamentos_Existentes: no<br>Herramientas_Faltantes: no<br>Herramientas_Existentes: no<br>Otros_Articulos: no<br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.4167949<br>longitud: -99.1596354",,,,,-1,0,-1,,,35.0,20/09/17 21:46,Guanajuato,125.0,Roma,Cuauhtémoc,Ariana,5516829713,"lonas, lámparas, tiendas de campaña",no,no,no,no,no,no,no,,No,Sí,,19.4167949,-99.1596354
-99.160312,19.4148378,Huerto Roma Verde,"unnamed (1): 36<br>Marca temporal: 20/09/17 21:48<br>Calle: Jalapa<br>Numero_aproximado: 234<br>Colonia: Roma norte<br>Delegacion: Cuauhtemoc<br>Nombre_contacto: Carlos castellanos<br>Telefono: 3314119000<br>Articulos_Urgentes: Insulina, Antibioticos<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.4148378<br>longitud: -99.160312",,,,,-1,0,-1,,,36.0,20/09/17 21:48,Jalapa,234.0,Roma norte,Cuauhtemoc,Carlos castellanos,3314119000,"Insulina, Antibioticos",,,,,,,,,No,Sí,,19.4148378,-99.160312
-99.160312,19.4148378,Huerto Roma Verde,"unnamed (1): 37<br>Marca temporal: 20/09/17 21:56<br>Calle: Jalapa<br>Numero_aproximado: 234<br>Colonia: Roma Norte <br>Delegacion: Miguel Hidalgo<br>Nombre_contacto: Pilar Hernandez<br>Telefono: 55642210<br>Articulos_Urgentes: Medicinas y alimentos no perecederos <br>Alimentos_Faltantes: Todo tipo de alimentos no perecederos , alimentos para perros. <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Antibióticos, solución Hartman, botiquines, punzos, jeringas, algodón, electrolitos, venoclisis<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Todas<br>Herramientas_Existentes: <br>Otros_Articulos: Ropa, comida, casas de campaña, juguetes, utensilios de cocina. <br>Horario_Atencion: De 8 am a 9 pm<br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: <br>latitud: 19.4148378<br>longitud: -99.160312",,,,,-1,0,-1,,,37.0,20/09/17 21:56,Jalapa,234.0,Roma Norte,Miguel Hidalgo,Pilar Hernandez,55642210,Medicinas y alimentos no perecederos,"Todo tipo de alimentos no perecederos , alimentos para perros.",,"Antibióticos, solución Hartman, botiquines, punzos, jeringas, algodón, electrolitos, venoclisis",,Todas,,"Ropa, comida, casas de campaña, juguetes, utensilios de cocina.",De 8 am a 9 pm,Sí,Sí,,19.4148378,-99.160312
-98.9957268,19.3505308,Bolivar y Chimalpopoca,"unnamed (1): 38<br>Marca temporal: 20/09/17 22:00<br>Calle: Bolívar<br>Numero_aproximado: 190<br>Colonia: Obrera<br>Delegacion: Cuauhtémoc<br>Nombre_contacto: Nade<br>Telefono: 5578040652<br>Articulos_Urgentes: Sábanas blancas, electrolitos, baterías, lonas<br>Alimentos_Faltantes: Ninguno<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Cascos<br>Herramientas_Existentes: Palas<br>Otros_Articulos: Lonas, bolsas, lonas, gasas, cajas de cartón<br>Horario_Atencion: 24 hrs<br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: <br>latitud: 19.3505308<br>longitud: -98.9957268",,,,,-1,0,-1,,,38.0,20/09/17 22:00,Bolívar,190.0,Obrera,Cuauhtémoc,Nade,5578040652,"Sábanas blancas, electrolitos, baterías, lonas",Ninguno,,,,Cascos,Palas,"Lonas, bolsas, lonas, gasas, cajas de cartón",24 hrs,No,Sí,,19.3505308,-98.9957268
,,Clínica Sagrado Corazón de Jesús,unnamed (1): 39<br>Marca temporal: 20/09/17 22:10<br>Calle: Alpino Vesubio <br>Numero_aproximado: 72<br>Colonia: Lázaro Cárdenas La Presa<br>Delegacion: Tlalnepantla<br>Nombre_contacto: Jhovana Rivas<br>Telefono: 5568628148<br>Articulos_Urgentes: Ninguno<br>Alimentos_Faltantes: Todos<br>Alimentos_Existentes: Llevamos poco <br>Medicamentos_Faltantes: Todos<br>Medicamentos_Existentes: Llevamos poco <br>Herramientas_Faltantes: Todos<br>Herramientas_Existentes: Llevamos poco <br>Otros_Articulos: Todo<br>Horario_Atencion: 24horas<br>Requieren_voluntarios: No<br>Verificado: Sí<br>Estado: Estado de México<br>latitud: <br>longitud:,,,,,,,-1,,,39.0,20/09/17 22:10,Alpino Vesubio,72.0,Lázaro Cárdenas La Presa,Tlalnepantla,Jhovana Rivas,5568628148,Ninguno,Todos,Llevamos poco,Todos,Llevamos poco,Todos,Llevamos poco,Todo,24horas,No,Sí,Estado de México,,
-99.1776713,19.3389801,Cerro chapultepec 43,unnamed (1): 40<br>Marca temporal: 20/09/17 22:39<br>Calle: Cerro de chapultepec<br>Numero_aproximado: 43<br>Colonia: Romero de Terreros<br>Delegacion: Coyoacan<br>Nombre_contacto: Raymundo Sanchez<br>Telefono: 044 55 4354 4661<br>Articulos_Urgentes: Manos para cargar trailer que va a Jojutla<br>Alimentos_Faltantes: .<br>Alimentos_Existentes: .<br>Medicamentos_Faltantes: .<br>Medicamentos_Existentes: .<br>Herramientas_Faltantes: .<br>Herramientas_Existentes: .<br>Otros_Articulos: .<br>Horario_Atencion: Sale 11.00pm<br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: Ciudad de México<br>latitud: 19.3389801<br>longitud: -99.1776713,,,,,-1,0,-1,,,40.0,20/09/17 22:39,Cerro de chapultepec,43.0,Romero de Terreros,Coyoacan,Raymundo Sanchez,044 55 4354 4661,Manos para cargar trailer que va a Jojutla,.,.,.,.,.,.,.,Sale 11.00pm,Sí,Sí,Ciudad de México,19.3389801,-99.1776713
,,Mercado de Villa Coapa,"unnamed (1): 41<br>Marca temporal: 20/09/17 23:30<br>Calle: Acoxpa y Miramontes<br>Numero_aproximado: 3775<br>Colonia: Villa Coapa<br>Delegacion: Tlalpan<br>Nombre_contacto: Alma Maldonado<br>Telefono: 5527365707<br>Articulos_Urgentes: Comida enlatada, arroz y frijol<br>Alimentos_Faltantes: Comida enlatada, arroz, frijol y medicinas<br>Alimentos_Existentes: Agua y comida caliente (va para Morelos mañana, no se necesita)<br>Medicamentos_Faltantes: Todo lo básico<br>Medicamentos_Existentes: nada<br>Herramientas_Faltantes: palas, picos, cascos<br>Herramientas_Existentes: no sobran<br>Otros_Articulos: ropa<br>Horario_Atencion: hasta las 10 am mañana 21 de sep. (porque se va todo a Morelos)<br>Requieren_voluntarios: Sí<br>Verificado: Sí<br>Estado: Ciudad de México<br>latitud: <br>longitud:",,,,,,,-1,,,41.0,20/09/17 23:30,Acoxpa y Miramontes,3775.0,Villa Coapa,Tlalpan,Alma Maldonado,5527365707,"Comida enlatada, arroz y frijol","Comida enlatada, arroz, frijol y medicinas","Agua y comida caliente (va para Morelos mañana, no se necesita)",Todo lo básico,nada,"palas, picos, cascos",no sobran,ropa,hasta las 10 am mañana 21 de sep. (porque se va todo a Morelos),Sí,Sí,Ciudad de México,,
